  0.000,-18,-10,-5
0.020,-18,-10,-7
0.040,-18,-11,-7
0.060,-18,-11,-8
0.080,-21,-10,-8
0.100,-21,-8,-6
0.120,-18,-7,-5
0.140,-13,-6,-5
0.160,-10,-5,-5
0.180,-10,-1,-2
0.200,-10,1,0
0.220,-10,1,-1
0.240,-10,1,-4
0.260,-12,0,-5
0.280,-15,-3,-5
0.300,-18,-5,-5
0.320,-19,-5,-4
0.340,-19,-6,-4
0.360,-19,-7,-4
0.380,-19,-7,-4
0.400,-18,-6,-5
0.420,-18,-5,-6
0.440,-16,-4,-7
0.460,-15,-3,-8
0.480,-17,-1,-9
0.500,-17,2,-6
0.520,-15,2,-3
0.540,-12,2,-1
0.560,-12,1,-1
0.580,-12,-2,-2
0.600,-12,-2,-4
0.620,-15,1,-5
0.640,-19,1,-5
0.660,-20,1,-5
0.680,-20,-3,-5
0.700,-19,-9,-6
0.720,-17,-10,-6
0.740,-15,-9,-6
0.760,-15,-4,-4
0.780,-17,-2,-2
0.800,-18,-1,-2
0.820,-18,-1,-3
0.840,-12,-3,-4
0.860,-12,-4,-4
0.880,-12,-4,-5
0.900,-14,-5,-4
0.920,-16,-5,-3
0.940,-17,-4,-2
0.960,-18,-3,-2
0.980,-18,-3,-2
1.000,-18,-3,-3
1.020,-18,-5,-4
1.040,-18,-5,-5
1.060,-17,-5,-6
1.080,-16,-4,-8
1.100,-17,-4,-9
1.120,-18,-3,-9
1.140,-16,0,-6
1.160,-15,2,-2
1.180,-16,2,-2
1.200,-19,0,-3
1.220,-22,-5,-4
1.240,-26,-10,-6
1.260,-30,-11,-8
1.280,-30,-9,-8
1.300,-30,-8,-8
1.320,-29,-8,-7
1.340,-22,-8,-6
1.360,-14,-3,-4
1.380,-11,0,-3
1.400,-5,3,-3
1.420,-5,8,-1
1.440,-3,10,-1
1.460,-3,10,-1
1.480,-6,3,-5
1.500,-18,-3,-5
1.520,-19,-3,-1
1.540,-15,-1,-1
1.560,-14,-1,-2
1.580,-14,-1,-3
1.600,-15,0,-6
1.620,-16,0,-8
1.640,-18,2,-8
1.660,-19,2,-7
1.680,-19,2,-7
1.700,-14,1,-6
1.720,-11,0,-6
1.740,-12,-3,-5
1.760,-17,-5,-5
1.780,-19,-7,-5
1.800,-19,-7,-6
1.820,-20,-6,-6
1.840,-20,-6,-5
1.860,-19,-6,-4
1.880,-18,-6,-3
1.900,-14,-6,-2
1.920,-12,-6,-1
1.940,-12,-4,-1
1.960,-12,-4,-1
1.980,-12,-4,-4
2.000,-12,-5,-5
2.020,-12,-5,-6
2.040,-18,-5,-6
2.060,-21,-3,-6
2.080,-22,-1,-5
2.100,-21,0,-6
2.120,-20,-2,-6
2.140,-18,-5,-6
2.160,-16,-6,-6
2.180,-16,-5,-6
2.200,-14,-5,-6
2.220,-14,-5,-8
2.240,-19,-3,-8
2.260,-19,0,-5
2.280,-16,1,-4
2.300,-15,1,-2
2.320,-15,-1,-2
2.340,-17,-5,-4
2.360,-21,-5,-5
2.380,-21,-5,-5
2.400,-20,-5,-5
2.420,-20,-5,-5
2.440,-18,-6,-5
2.460,-16,-9,-5
2.480,-15,-9,-3
2.500,-15,-5,-1
2.520,-17,-3,-1
2.540,-17,-3,-3
2.560,-15,-2,-4
2.580,-11,-2,-5
2.600,-11,-2,-5
2.620,-12,-1,-4
2.640,-13,2,-3
2.660,-14,2,-2
2.680,-15,2,-1
2.700,-15,0,-1
2.720,-15,-2,-2
2.740,-16,-5,-3
2.760,-17,-6,-4
2.780,-17,-7,-5
2.800,-17,-7,-6
2.820,-20,-7,-7
2.840,-23,-6,-5
2.860,-21,-3,-4
2.880,-18,-2,-2
2.900,-17,-4,-2
2.920,-16,-6,-2
2.940,-16,-7,-2
2.960,-15,-7,-3
2.980,-17,-6,-4
3.000,-18,-4,-4
3.020,-18,-1,-3
3.040,-18,-1,-2
3.060,-18,-4,-2
3.080,-16,-8,-2
3.100,-15,-9,-2
3.120,-13,-8,0
3.140,-13,-4,2
3.160,-16,-3,2
3.180,-16,-3,2
3.200,-16,-4,-1
3.220,-15,-6,-1
3.240,-15,-7,-1
3.260,-15,-7,-2
3.280,-15,-5,-2
3.300,-15,-4,-1
3.320,-15,-4,0
3.340,-15,-3,0
3.360,-14,-3,0
3.380,-14,-4,-1
3.400,-14,-4,-1
3.420,-15,-4,-2
3.440,-17,-5,-2
3.460,-18,-6,-2
3.480,-17,-7,-3
3.500,-16,-8,-3
3.520,-16,-9,-5
3.540,-16,-9,-3
3.560,-18,-9,-1
3.580,-17,-10,-1
3.600,-16,-11,-1
3.620,-16,-11,-2
3.640,-14,-11,1
3.660,-11,-10,3
3.680,-10,-9,3
3.700,-10,-7,2
3.720,-10,-7,1
3.740,-14,-7,-1
3.760,-15,-7,-1
3.780,-14,-9,-1
3.800,-12,-12,0
3.820,-9,-12,1
3.840,-8,-11,1
3.860,-8,-11,2
3.880,-8,-14,3
3.900,-10,-17,4
3.920,-12,-19,4
3.940,-13,-19,2
3.960,-13,-16,2
3.980,-14,-14,1
4.000,-14,-13,0
4.020,-14,-13,0
4.040,-14,-14,1
4.060,-13,-14,2
4.080,-13,-13,2
4.100,-9,-13,1
4.120,-6,-14,0
4.140,-6,-15,-3
4.160,-13,-15,-3
4.180,-15,-11,-2
4.200,-14,-9,-1
4.220,-12,-10,0
4.240,-10,-12,1
4.260,-9,-14,2
4.280,-8,-14,1
4.300,-8,-14,-1
4.320,-11,-11,-2
4.340,-13,-10,-3
4.360,-14,-11,-2
4.380,-15,-12,0
4.400,-16,-13,2
4.420,-17,-14,2
4.440,-18,-14,2
4.460,-16,-12,2
4.480,-14,-10,1
4.500,-13,-10,1
4.520,-13,-10,0
4.540,-12,-10,0
4.560,-11,-10,2
4.580,-12,-10,2
4.600,-12,-8,3
4.620,-12,-8,5
4.640,-13,-7,5
4.660,-13,-7,4
4.680,-13,-6,3
4.700,-12,-6,-1
4.720,-11,-6,-5
4.740,-11,-6,-7
4.760,-11,-7,-7
4.780,-10,-9,-6
4.800,-10,-12,-5
4.820,-13,-15,-2
4.840,-15,-15,-1
4.860,-16,-14,1
4.880,-16,-14,1
4.900,-16,-15,-1
4.920,-17,-16,-1
4.940,-18,-16,0
4.960,-19,-16,1
4.980,-19,-13,1
5.000,-18,-8,1
5.020,-18,-7,1
5.040,-18,-8,2
5.060,-18,-9,2
5.080,-17,-9,3
5.100,-16,-9,4
5.120,-16,-8,4
5.140,-15,-8,4
5.160,-13,-8,4
5.180,-12,-7,4
5.200,-12,-3,4
5.220,-12,-1,4
5.240,-13,0,3
5.260,-15,-2,1
5.280,-16,-3,-1
5.300,-17,-3,-2
5.320,-16,-3,-2
5.340,-13,-3,-3
5.360,-12,-6,-6
5.380,-15,-7,-7
5.400,-19,-6,-5
5.420,-19,-4,-4
5.440,-19,-2,-4
5.460,-18,0,-4
5.480,-18,2,-6
5.500,-19,4,-6
5.520,-19,8,-6
5.540,-18,8,-6
5.560,-18,8,-6
5.580,-16,6,-6
5.600,-11,5,-2
5.620,-11,3,-2
5.640,-11,0,-4
5.660,-13,-3,-4
5.680,-15,-5,-4
5.700,-16,-6,-4
5.720,-20,-6,-4
5.740,-22,-5,-3
5.760,-22,-2,-2
5.780,-21,-1,-2
5.800,-21,-1,-1
